0,0.01,3.0989609159,3.4257733841,3.694936899,4.0002418123,-0.0002245167,0.1657846167,-0.0002450024,0.1554812684,-0.0074345731,0.1436467731,0.326812,0.305305,0.166009,0.155726,0.151081,0.00207817,0.000483625,0.000449033,0.000490005,0.0148691,
0.01,0.02,3.3986620189,3.6798277759,3.3683714898,3.69766836,0.1628800721,0.3281317359,0.1531234919,0.3520949073,0.1236210408,0.2686544975,0.281166,0.329297,0.165252,0.198971,0.145033,0.0047088,0.00298846,0.00281659,0.00301863,0.0171671,
0.02,0.03,3.6473792919,3.8790747746,3.0264269969,3.3740012294,0.320823055,0.4825385833,0.3467455966,0.5851058919,0.2450661516,0.3827863628,0.231695,0.347574,0.161716,0.23836,0.13772,0.00804696,0.00616628,0.00581786,0.00622669,0.0200793,
0.03,0.04,3.8410294906,4.0206799683,2.675570851,3.0356899493,0.4702016554,0.6259592506,0.5760178583,0.8494592913,0.3550523294,0.4845846682,0.17965,0.360119,0.155758,0.273441,0.129532,0.0122643,0.010183,0.00961661,0.0102815,0.0237673,
0.04,0.05,3.9765891662,4.1030036022,2.3222891723,2.6894039708,0.6078095294,0.7556549509,0.8356828102,1.1396287998,0.4519525188,0.5728838236,0.126414,0.367115,0.147845,0.303946,0.120931,0.0176191,0.0152775,0.0144291,0.0154244,0.0284365,
0.05,0.06,4.0521719791,4.1255751789,1.9706609766,2.3418822945,0.7306946023,0.8692412822,1.1199603978,1.4497097532,0.5343784153,0.6468371316,0.0734032,0.371221,0.138547,0.329749,0.112459,0.0243759,0.0217164,0.0205191,0.0219244,0.03435,
0.06,0.07,4.0265146354,4.099904509,1.6283173747,1.9998343404,0.8362021068,0.9647369261,1.4226354379,1.7735695958,0.6012058895,0.705924161,0.0733899,0.371517,0.128535,0.350934,0.104718,0.0329168,0.0298504,0.0282105,0.0301355,0.0418168,
0.07,0.08,3.9230193425,4.0650776115,1.302054254,1.6698388779,0.921985769,1.0406293065,1.7371571122,2.1049950337,0.6515505534,0.7499961771,0.142058,0.367785,0.118644,0.367838,0.0984456,0.043744,0.0401585,0.037949,0.0405416,0.0512674,
0.08,0.09,3.7631829803,3.9740160919,0.9972562062,1.3581956713,0.9860582587,1.0958848722,2.0567950923,2.4377864282,0.6847872425,0.7792656546,0.210833,0.360939,0.109827,0.380991,0.0944784,0.0574228,0.0531867,0.0502702,0.0536933,0.0632296,
0.09,0.1,3.5503423342,3.8298529404,0.7186812007,1.0708811024,1.0267874565,1.129996558,2.3746980917,2.7691369888,0.7005364377,0.7943168711,0.279511,0.3522,0.103209,0.394439,0.0937804,0.0747507,0.0696793,0.0658589,0.0703428,0.078359,
0.1,0.11,3.2886676367,3.636796205,0.4703779724,0.8134416968,1.0428896246,1.143016785,2.684025937,3.0900705262,0.6910539585,0.7961386431,0.348129,0.343064,0.100127,0.406045,0.105085,0.0966787,0.0905656,0.0855981,0.0914272,0.0975187,
